686,1828
1828,2760
2845,4797
4812,7322
7294,8547
8551,9183
9156,9920
9923,11251
11251,12039
12068,12724
15555,17426
17473,19242
19252,22347
22389,23558
23542,24468
24468,26006
26036,26473
26479,27345
27346,28449
28652,29548
29552,30124
30093,30548
30548,31153
36977,38977
39127,39903
40542,41786
41776,43428
43401,44753
47580,49355
49376,49642
49840,51519
51524,52381
52365,53219
53204,54655
54657,55604
55588,56739
58362,59078
59082,59753
59740,61005
61014,61406
61406,63058
67650,68543
70530,72572
72523,73434
73690,77685
77685,79085
79089,81035
81046,82596
82620,84044
88228,90954
91065,91919
91924,94548
94535,96955
96933,98903
98906,99319
99383,102457
103104,104327
104320,105450
105452,106660
106660,109206
109262,109675
109675,110355
110355,110924
110917,111789
111790,112725
112718,113866
113895,114314
114331,114798
114808,116874
116926,117552
117553,118035
118025,118342
118345,118797
118781,120187
120191,121387
121571,123523
123580,124317
124417,125850
125853,127286
127279,128712
128687,129355
129348,130295
130285,131127
131149,131382
131385,133562
133570,134172
134769,135338
135338,136120
136105,137268
137255,138091
138106,139407
139397,140026
140040,141410
141346,142056
142081,142554
142563,143318
143311,143955
143936,144958
144973,146667
146674,148236
148239,149159
149199,151328
151306,152721
152768,153076
153082,153939
154999,155436
155444,156223
156223,156576
156566,158020
158023,158309
159798,160100
160963,162435
162377,163591
163591,165387
165471,167180
170007,171525
171728,174461
174690,174793
175805,179146
179151,180746
180746,181018
181005,182864
182851,183189
183214,184053
184053,184862
184875,186149
186136,187263
187302,188531
188607,189452
189492,189956
190046,190366
190370,191143
191143,191778
191782,192102
192102,192959
192959,193222
193225,193659
193662,194468
194474,194890
194890,195492
195492,195749
195753,196121
196121,196447
196453,196995
196998,197183
197177,197602
197609,198163
198165,198512
198517,199152
199158,199610
199610,201037
201031,201675
201678,202424
202424,202636
202647,202760
202760,203134
203134,203499
203515,204501
204514,204885
204872,205696
205681,206595
206588,207850
207843,208577
208567,210390
210391,211344
211444,213549
216016,216768
216761,218518
218521,219510
219482,220438
220607,221563
221570,225904
225906,229067
232009,233034
233038,235458
235517,236062
236065,236244
236247,236621
237347,239152
239164,239817
239827,240195
240323,242224
242224,244569
245633,247426
247407,247910
250149,250808
250808,250996
250998,251441
251444,251788
251781,252587
252580,253995
253979,254602
254621,255592
255595,257121
257158,257234
257269,257345
257349,257425
257445,257521
257559,257650
257664,257740
257742,257815
257818,257893
258041,259159
259177,264594
264597,265637
265597,266043
266423,266499
266666,267091
267081,268010
268012,269247
269250,270359
270405,271874
271840,273318
273790,274653
274653,275135
275141,276163
276167,276628
276647,278812
278905,279207
279200,279499
279492,279806
279799,280674
280664,281086
281079,281963
281993,283327
283396,285783
286885,288747
288753,290645
290648,291328
291334,293445
293448,293945
293938,294783
305001,306098
306202,306654
306617,306691
306740,306813
306821,307591
307637,307930
307930,309009
309010,310380
310511,312808
315701,318325
318332,319207
319207,320061
320177,321052
321046,321642
338367,340529
345182,346633
346854,347252
347215,348258
348261,348851
348883,349137
349128,349202
354024,355130
355120,355857
355847,357478
386463,387269
399868,399958
399960,400048
405456,406139
406542,406929
420333,421358
421467,422693
422697,423113
443922,444422
444413,445045
445078,445153
446576,447790
447790,448725
448783,448864
449665,450219
450222,450722
451197,451610
456755,457372
457347,458270
459615,460103
460126,460494
460497,460670
461015,461689
461682,462617
462619,464622
477168,479006
478999,479577
479570,480226
480691,481332
510903,511376
531669,533018
533041,533235
533271,533696
533807,534322
539633,540529
540510,541241
541241,541792
541793,542986
543006,544157
555667,556452
556437,557315
557759,558949
563993,564931
